Link,Direction,Sublink,NearLatitude_DecDeg,NearLongitude_DecDeg,FarLatitude_DecDeg,FarLongitude_DecDeg,Frequency_GHz,Polarization,Length_km,NearAntennaDiameter_m,FarAntennaDiameter_m
10032,A,154,57.70804,12.0247,57.75606,12.06644,18.25,Vertical,5.89528,0.3,0.6
10032,B,153,57.75606,12.06644,57.70804,12.0247,19.26,Vertical,5.89528,0.6,0.3
10033,A,526,57.72164,12.01893,57.75606,12.06644,28.1785,Vertical,4.76333,0.6,0.6
10033,B,525,57.75606,12.06644,57.72164,12.01893,29.1865,Vertical,4.76333,0.6,0.6
10034,A,109,57.69548,11.98022,57.69785,11.9911,37.296,Vertical,0.70039,0.2,0.3
10034,B,110,57.69785,11.9911,57.69548,11.98022,38.556,Vertical,0.70039,0.3,0.2
10035,A,468,57.68063,11.97853,57.68479,11.96203,29.1865,Vertical,1.08746,0.3,0.3
10035,B,467,57.68479,11.96203,57.68063,11.97853,28.1785,Vertical,1.08746,0.3,0.3
10036,A,458,57.70907,11.97594,57.71181,11.98477,37.324,Vertical,0.60877,0.3,0.3
10036,B,457,57.71181,11.98477,57.70907,11.97594,38.584,Vertical,0.60877,0.3,0.3
10037,A,534,57.69268,11.93549,57.6953,11.94063,38.556,Vertical,0.42314,0.2,0.2
10037,B,533,57.6953,11.94063,57.69268,11.93549,37.296,Vertical,0.42314,0.2,0.2
10038,A,662,57.68474,11.93067,57.68762,11.93019,37.24,Vertical,0.32284,0.2,0.3
10038,B,661,57.68762,11.93019,57.68474,11.93067,38.5,Vertical,0.32284,0.3,0.2
10039,A,436,57.69463,11.94463,57.6953,11.94063,38.528,Vertical,0.24982,0.2,0.2
10039,B,435,57.6953,11.94063,57.69463,11.94463,37.268,Vertical,0.24982,0.2,0.2
10040,A,198,57.67704,12.03469,57.67648,12.09582,28.2065,Vertical,3.64788,0.3,0.3
10040,B,197,57.67648,12.09582,57.67704,12.03469,29.2145,Vertical,3.64788,0.3,0.3
10041,A,208,57.71552,12.05015,57.70923,12.00797,32.333,Vertical,2.61002,0.3,0.3
10041,B,207,57.70923,12.00797,57.71552,12.05015,33.145,Vertical,2.61002,0.3,0.3
10042,A,651,57.72651,12.02188,57.72567,12.04335,38.318,Vertical,1.28298,0.3,0.3
10042,B,652,57.72567,12.04335,57.72651,12.02188,37.324,Vertical,1.28298,0.3,0.3
10043,A,568,57.73319,12.02358,57.71552,12.05015,33.229,Vertical,2.52495,0.3,0.3
10043,B,567,57.71552,12.05015,57.73319,12.02358,32.417,Vertical,2.52495,0.3,0.3
10044,A,552,57.75823,12.07351,57.75606,12.06644,28.2065,Vertical,0.48522,0.3,0.3
10044,B,551,57.75606,12.06644,57.75823,12.07351,29.2145,Vertical,0.48522,0.3,0.3
10045,A,9,57.72942,12.01415,57.70923,12.00797,37.212,Vertical,2.27772,0.3,0.3
10045,B,10,57.70923,12.00797,57.72942,12.01415,38.318,Vertical,2.27772,0.3,0.3
10046,A,59,57.74688,12.0334,57.75606,12.06644,37.24,Vertical,2.21697,0.3,0.3
10046,B,60,57.75606,12.06644,57.74688,12.0334,38.682,Vertical,2.21697,0.3,0.3
10047,A,600,57.75954,12.05935,57.75606,12.06644,37.24,Vertical,0.57311,0.3,0.3
10047,B,599,57.75606,12.06644,57.75954,12.05935,38.5,Vertical,0.57311,0.3,0.3
10048,A,580,57.71614,11.89689,57.72355,11.8898,37.212,Vertical,0.92618,0.3,0.3
10048,B,577,57.72355,11.8898,57.71614,11.89689,38.472,Vertical,0.92618,0.3,0.3
10049,A,582,57.73263,11.89616,57.72355,11.8898,37.24,Vertical,1.07927,0.3,0.3
10049,B,578,57.72355,11.8898,57.73263,11.89616,38.5,Vertical,1.07927,0.3,0.3
10050,A,13,57.72874,11.93552,57.72946,11.91532,38.528,Vertical,1.20565,0.3,0.3
10050,B,14,57.72946,11.91532,57.72874,11.93552,37.268,Vertical,1.20565,0.3,0.3
10051,A,308,57.73374,11.97313,57.72285,11.97265,37.24,Vertical,1.21279,0.3,0.3
10051,B,307,57.72285,11.97265,57.73374,11.97313,38.5,Vertical,1.21279,0.3,0.3
10052,A,170,57.70604,11.88968,57.72355,11.8898,37.156,Vertical,1.94873,0.3,0.3
